Combined bacterial and chemical process for hemp de-gumming involves using T-66 bacterial prepn. and gives reduced water pollution,1985-04-29
Air conditioning and humidity control unit has multistage centrifugal water atomiser for injecting water at set temps. directly into conditioned air stream,1985-08-27
pressure type temporal-mandibular joint mover,1987-03-16
spiral brush fiber device of stripping mechanism for carding machine,1987-07-06
non-woven needling machine combined with guiding device,1987-10-19
non-woven needling machine of yarn winding device,1988-04-18
non-woven needling machine combined with feeding device,1988-06-03
Reclamation of cotton waste comprises sepg. cotton waste using shaker and delivering into dressing machine by a belt at the lower end,1990-12-29
"Prodn. of patterned felt hat includes mixing dyed, partially carded wool into the felt stock during hat prodn.",1992-01-15
plain and twill fabric pedal opening joint universal device,1994-04-19
the inner core can be externally sealed detachable down coat,1996-06-12
Polishing wheel is made of shortened sisal hemp fibers that are wetted and needled into cloth material,1998-06-05
Cotton fibre/high-shrinkage acrylic fibre blended yarn as velvet-pile yarn for weaving corduroy or velveteen,1998-09-30
Method and equipment for reducing reeling tension of automatic reeling machine,1999-12-31
Knitted jean yarn making process enables dyed jean yarn to be used in knitting,1999-12-28
Twist-less jacquard towelling coverlet and its weaving method,2000-04-29
Chinese medical stone underwear comprises functional Chinese medical stone fibers to provide trace elements necessary to human body,1999-11-01
Production proces sof imitation hemp weft-knitted fabric of strong twisted yarn,2000-02-24
Electrothermal gassing frame for printing and dyeing and its gassing method,2000-12-19
three-dimensional curly fibre nine three-dimensional spinneret plate,2001-03-09
anti static adhesive lining cloth and its production,2001-11-27
"Silk ribbon embroidery comprises silk ribbon and small amount of silk thread, where silk ribbon and silk thread constitute pattern of embroidery",2000-11-09
Process for preparing flame-retarding decorative velvet fabric and its product,2002-02-05
manufacturing the spinneret plate of the nine three-dimensional crimped fibre,2001-12-13
Ultra-low-temperature adhesive lining cloth and its manufacture,2002-04-27
Water-proof wool hood and finished product headgears,2002-04-26
"Steam spraying dyeing method for real silk fabric, involves pretreating in normal temperature aqueous solution, heating and cooling",2001-05-15
Technology for finishing fabric of spun wool yarns or wool-rich fabric in order to mechanically wash it and prevent shrinkage,2001-07-12
"Shrink proof, wrinkle-proof, non-deforming cotton knitted shell-fabric dyeing and finishing process",2002-10-29
Spinning method of fine denier polypropylene fibre yarn,2001-10-11
ten-hole three-dimensional curly fibre spinneret plate,2002-07-29
hole spinneret plate for manufacturing three-dimensional curly fibre,2002-08-22
thirteen-hole three-dimensional curly fibre spinneret plate,2002-08-30
Worsted high count yarn technological method for blended spinning cashmere fibre and natural silk fibre,2002-04-05
Process for making carded cashmere sweater capable of washing in washer,2002-04-17
the crank connecting rod mechanism of single-cylinder diesel engine,2002-08-22
radiating cooling and heat recycling device of fibre dryer,2002-12-03
A garment capable of automatically telescopic adjusting waistline size,2002-09-30
Process for producing rhodia nylon 66 short-fiber blending yarn,2003-06-24
"Blended yarn among cotton, modat and wool as well as processing procedure",2002-09-05
Spinning yarn containing bamboo fibril and mfg method thereof,2003-02-27
"Cotton, model and nano silver-series antibacterial fine-denier poly propylene fiber scribbled and processing method thereof",2002-12-20
X shaped pin-joint rod set with improved structure,2003-06-11
Method for eliminating straight line skew of one-side weft-knitted fabric,2003-12-03
"Method for producing anti-static flame retardant, water-proof and oil-proof natural fibrous fabric",2003-12-24
A tent frame structure improvement of forficiform connecting rod,2003-11-27
Method for patterned polychrome printing through four separated colors,2004-03-16
Assembled integrated process of 3D memory and spray painting and lithograph,2004-04-02
Bicolor elastic corded velveteen made from multi-fiber,2004-03-18
Biological color cotton and yak fine hair blend fabrics,2004-05-27
multiple combing sections lace machine knob movement control device,2004-02-16
Transmission gear for spinning low twist product by roving frame and its using method,2003-09-15
Cloth in use for protecting saloon car and preparation method,2004-10-25
the intermediate gear structure for roving machine head main shaft,2004-04-18
Blended color yarn spun by pure spinning or blended spinning of air-conditioning fiber and its production method,2004-11-11
Blended color yarn spun by pure spinning or blended spinning of corn fiber and its production method,2004-11-11
Indoor high-pressure microatomizing air regulating style and system apparatus in textile workshop,2004-09-30
Copper-in-tin electromagnetic screen textile and method for preparing same,2004-12-14
Process for electroplating zipper chain teeth and apparatus therefor,2003-12-21
Biological antibiotic fabric and its preparation comprises charging slop padded chitosan biological antimicrobial agent and carrying out pre-curing,2003-12-19
fractal terylene and natural fibre multi-dimensional three-dimensional cotton,2004-06-14
"Biological oil removing process for silk spinning raw material, comprises using an oil eliminating bacteria strain",2004-12-10
Process for preparing special-shape material necked yarn and device thereof,2005-02-28
Circuit system for automatic material weighing and blending production line control,2004-03-03
High-grade environment protection type knitted elastic face fabric and production process thereof,2004-03-12
gripper shuttle loom shuttle rebounding chain cleaner,2004-06-30
Method for treating silk spinning material by using quick refining technique under moderate temperature,2005-04-11
Method for fabricating blending fibre dyed yarn in multiple materials by cotton/wool combination type technical course,2005-04-30
PTT polyester knit-woven fabric black dyeing process and formulation,2004-04-22
Teased long staple adhesive lining cloth and method for manufacturing same,2005-05-18
Casein milk filaments and cashmere mixed yarn and production process thereof,2005-05-26
