"Derwent Innovation Patent Export, 2020-09-05 10:53:04 +0000 "
标题 - DWPI,标题 (原文),标题 (英语),摘要 - DWPI,摘要 (原文),摘要 (英语),专利权人 - DWPI,优先权日 - DWPI,优先权日,优先权日 - 最早
"Combined bacterial and chemical process for hemp de-gumming involves using T-66 bacterial prepn. and gives reduced water pollution","苎麻细菌化学联合脱胶技术","chemical united degumming ramie bacteria technology","","苎麻细菌化学联合脱胶技术。属于苎麻纺织工业中的一种生物化学脱胶技术。该技术包括脱胶菌种的培养、配液、加菌脱胶以及后处理工艺，脱胶菌种为T 66。该技术可适应不同产地不同等级的原麻加工，具有良好的稳定性，脱胶制成率、精干麻正品率、梳成率均比常规化学脱胶的高。还可使废水污染程度减轻60％，每吨精干麻减少废水处理费50元。","ramie degumming technology of chemical combination. belongs to ramie A biochemical degumming technique in the textile industry. The technology comprises the degumming strain culture, preparing, adding bacteria and de-gumming and post-processing technique, the degumming strain is T66. The technology can meet the raw processing of different place different levels, and it has good stability and degummed ramie degumming rate rate of certified products, the yield is higher than that of conventional chemical degumming. it can make waste water pollution degree reduced by 60% per ton of flax reduce waste water treatment cost of 50 yuan.","HEMP INST CHIN ACAD","1985-04-29","1985-04-29","1985-04-29",
"","","ramee bacteria chemical degumming combining technology","","","ramee bacteria chemical degumming technology in combination. The invention belongs to a biochemical degumming technique of ramee textile industry. The technology comprises the degumming strain culture, preparing, adding bacteria and de-gumming and post-processing technique, the degumming strain is T66. The technology can meet the raw processing of different place different levels, and it has good stability and degummed ramie degumming rate rate of certified products, the yield is higher than that of conventional chemical degumming. it can make waste water pollution degree reduced by 60% per ton of flax reduce waste water treatment cost of 50 yuan.","","","1985-04-29","1985-04-29",
"Amide modified starch is obtd. by reacting corn starch with urea, to obtain prod. appropriate for yarn sizing","酰胺变性淀粉浆料","amide modified starch slurry","","一种酰胺变性淀粉浆料。本发明属于纺织品的浆纱处理用的浆料。其组成是由酰胺变性淀粉、滑石粉、乳化油和甘油在一定的条件下，混合搅拌而成。其中的主要成分酰胺变性淀粉是由玉米淀粉加入适量的酰胺化试剂——尿素，在一定的反应条件下制备的。该浆料同天然淀粉浆料和化学浆料相比，既能改善浆纱性能，提高浆纱质量，又能降低浆纱的成本，是一种纺织品浆纱用的良好浆料。","A amide modified starch sizing agent. This invention belongs to textile sizing agent for sizing processing. it is composed of amide modified starch, talcum powder, emulsified oil and glycerol under a certain condition, mixing and stirring. the main component of the acid modified starch is made by adding proper amount of corn starch amidation reagent urea, under certain reaction conditions. Comparing the slurry of native starch slurry and chemical slurry, can improve sizing performance, improve the sizing quality, but also can reduce the cost of the sizing, is a good slurry for textile sizing.","QINGDAO SEA WATER RES","1985-11-21","1985-11-21","1985-11-21",
"","","amide modified starch slurry","","","A amide denature starch for preparing slurry. This invention belongs to textile sizing processing for the main raw material of slurry. the starch is the corn starch, adding proper amount of the amidation reagent urea, under certain reaction conditions. the slurry is formulated with the starch with native starch slurry and chemical grout, can improve sizing performance, improve the sizing quality, but also can reduce the cost of the sizing, is a textile sizing agent for sizing of good raw material.","","","1985-11-21","1985-11-21",
"Printed leather prodn. uses paste made of white or coloured paint, crosslinking agent and adhesive, applied by printing rolls","印花皮革及其制造方法","printing leather and its manufacturing method","","本发明涉及一种在其表面印有花纹和图案的印花皮革及皮革印花方法。用作印花的浆是一种由白涂料(或混有色涂料)交链剂和粘合剂组成的混合物，用这种涂料混合物在辊筒印花机上通过印花辊筒对绒面革和表面革进行印花，印出花纹和图案之后再进行烘干，最后再进行焙烘。本发明的印花皮革线条精细，图案轮廓清晰，花式明亮鲜艳。","The invention claims a leather and leather printing method printing printed with figures and patterns on the surface. is used as printing paste is a mixture of white paint (or coloured paint mixing) agent and a binder, the coating mixture for through printing roller on the roller printing machine and surface leather of the suede leather printing, printing the flower pattern and pattern after drying, finally baking. printing the leather of the invention is fine, clear pattern outline, fancy vivid bright.","SHANGHAI PRINTING &","1985-06-05","1985-06-05","1985-06-05",
"","","printing leather and its manufacturing method","","","The invention claims a leather and leather printing method printing printed with figures and patterns on the surface. is used as printing paste is a mixture of white paint (or coloured paint mixing) agent and a binder, the coating mixture for through printing roller on the roller printing machine and surface leather of the suede leather printing, printing the flower pattern and pattern after drying, finally baking. printing the leather of the invention is fine, clear pattern outline, fancy vivid bright.","","","1985-06-05","1985-06-05",
"Air conditioning and humidity control unit has multistage centrifugal water atomiser for injecting water at set temps. directly into conditioned air stream","离心式多级喷雾器空调室","centrifugal atomizer air chamber","","本发明是暖通空调领域内，用于空调过程空气热湿处理的新系统，不使用水泵、喷排管、喷嘴，给湿期间不使用挡水板，用电只要现有喷淋式空调室的1/5以下。本发明空调室根据热湿交换不同要求，设置了给湿型和热湿交换型二种离心式多级喷雾器，分别将不同温度的水直接成为水滴粒度50微米以下和100～500微米的雾，最大喷雾量分别为900公斤/小时和50×10 3公斤/小时，雾密度均匀与空气成垂直热湿交换，系统风阻比喷淋式空调室低5～20毫米水柱，且配功只有0.6～1.5KW和1.5～5.5KW。","The invention claims heating ventilation air conditioning field, for the air conditioner air heat-wet processing of the new system, without using water pump, spray and exhaust pipe, a nozzle, a baffle is not used to wet period, electric current spraying type air chamber of less than 1/5. The invention air conditioner room according to different heat exchange requirement is set to wet and heat-moisture exchange type centrifugal sprayer, the water with different temperature directly into water drop size less than 50 and 100~500 microns of fog. the largest spraying amount is 900 kilograms per hour and 50 * 103/centigrade, fog density uniformly into the vertical heat-exchange with air, system resistance type air chamber lower than the spraying 5~20 water column, and only 0.6 to 1.5KW and 1.5 to 5.5KW.","WUXI FIRST COTTON M","1985-08-27","1985-08-27","1985-08-27",
"","旋杆为双工作头的组合螺丝刀","the blade is combined screwdriver with double working head","","本实用新型提供了一种旋杆为双工作头的组合螺丝刀，该螺丝刀的特点是：旋杆两端都为工作头，这样在不影响使用功能的前提下，可节省一半旋杆、便于携带保管。","The utility model claims a double working rod is a combination screwdriver head and the screwdriver rod two ends are working, so under the condition of not influencing the use function, it can save half of the rod, it is convenient to carry and keep.","","","1986-06-19","1986-06-19",
"","电子检测疵点计数仪","Electronic detection defect counter","","本实用新型提供一种电子检测疵点计数仪。检测时，有色显示检测笔尖在透明板的子样外观疵点相应点上接触一次，留着一个色记，区别于未测疵点，并联动标色顶杆推动多触点开关电路导通，迅即发出一个信号脉冲通过导线输入电子计算器作累加计数，液晶显示器相应作累加计数显示。本发明也可用作物品的检测计数。本发明是一种袖珍式电子检测计数仪，体积小，重量轻，既可放在台上检测计数，也可作便携检测计数。操作简便，工作效率高，计数精度高。","The utility model claims an electronic detecting defect counter. when detecting, the colored display detection point defect on corresponding point contact once in sample appearance of the transparent plate, leaving a , different from the detected defect, and linkage post rod pushes the multi-contact switch circuit is turned on, immediately sends a signal pulse through the lead input electronic calculator as the accumulated count, corresponding accumulation count display of liquid crystal display. The invention can also be used as the detection count of items. The invention is a pocket electronic detection counter, the volume is small, the weight is light, it can put on the table detection count, also can be used as portable detection count. the operation is simple and convenient, the work efficiency is high, the counting precision is high.","","","1986-11-18","1986-11-18",
"","圆筒状织物内侧外翻机","cylindrical fabric machine","","本实用新型提供一种气动式圆筒状织物内侧外翻机，其特征是利用多路压缩空气通过各路主通管，分别流入多组与各主通管相接通的各组带有喷孔的环状圆管，各组喷孔交替地向不同方向喷气，使织物浮离圆筒壁呈完全悬浮状完成内侧外翻，以减少织物与筒壁摩擦，降低静电及织物表面损伤。本实用新型特别适合于化纤与真丝产品加工。","The utility model claims a pneumatic cylindrical fabric machine, it uses multi-path compressed air through each main pipe respectively flows into multiple groups, each group is connected with each main pipe with jet annular pipe, each group of jet jet alternately in different directions so that the fabric floated cylinder wall is completely suspended inside outwards so as to reduce fabric and the cylinder wall friction, reduce static and fabric surface damage. The utility model is especially suitable for chemical fibre and silk product processing.","","","1987-02-23","1987-02-23",
"","预分式纤维压紧器","pre-type fibre compactor","","预分式纤维压紧器用于棉纺厂除尘系统的废棉收集及空气过滤，利用吸落棉风机的多余风力传动，不用直接电源，电机和电控设备，可将吸入的纤维和80％的含尘空气进行预分离一级过滤，同时自动收集压紧纤维和杂质，而现有的纤维分离器或压紧器都只有自动收集压紧纤维和杂质的功能，而没有一级过滤含尘空气的预分离结构和作用，且都采用电机和较复杂的电控设备。","surplus wind transmission pre-type fibre compactor for cotton dust removing system of waste cotton collecting and air filtering, the fallen-cotton sucking fan without a direct power supply, a motor and an electric control device, the fibre suction and 80% of dust-containing air for separating the first level filter, and automatically collecting pressing fibre and impurities, while the existing fibre separator or compactor with automatic function of collecting pressing fibre and impurities, but not a pre-separating structure and function of filtering dust-containing air, and are more complicated by motor and electric control device.","","","1987-01-01","1987-01-01",
"","气压式颞下颌关节活动器","pressure type temporal-mandibular joint mover","","本实用新型涉及一种物理疗法器械，特别是一种颞下颌关节活动器。目前使用的是靠螺纹杆传动结构来控制上下牙托的张开或者闭拢，给操作者带来了不便。本实用新型的特点是采用带有压气装置的气箱来带动上下牙托张开或闭拢，且在上下牙托闭拢时，还受到了扭转弹簧回复力的作用，从而辅助了病人颞下颌关节活动。","The utility model claims a physical therapy instrument, especially a temporomandibular joint activation. the current is close to the threaded rod transmission structure to control dental tray at the open or closed, which brings inconvenience to the operator. the characteristics of this utility model is that it uses with compressing device gas tank to drive the alveolar opening or closure, and the alveolar closing, further bears the action of the torsion spring restoring force so as to assist the patient temporal-mandibular joint motion.","","","1987-03-16","1987-03-16",
